subject_set,pc,explained_variance_fraction,cumulative_explained_variance
optimal414,PC29,0.00623526528779903,0.7093655477753036
optimal414,PC30,0.0061232257754223664,0.7154887735507259
optimal414,PC31,0.005807051640670181,0.7212958251913961
optimal414,PC32,0.005656384978299864,0.726952210169696
optimal414,PC33,0.005573454713681739,0.7325256648833778
optimal414,PC34,0.005270592553704435,0.7377962574370822
optimal414,PC35,0.0050077549618654715,0.7428040123989477
optimal414,PC36,0.004956346422749935,0.7477603588216976
optimal414,PC37,0.004863956244002367,0.7526243150656999
optimal414,PC38,0.004671581947797567,0.7572958970134975
optimal414,PC39,0.0045457127373689276,0.7618416097508665
optimal414,PC40,0.004376781045402772,0.7662183907962692
optimal414,PC41,0.004286616725581399,0.7705050075218506
optimal414,PC42,0.004242032901542055,0.7747470404233926
optimal414,PC43,0.004138784435634013,0.7788858248590266
optimal414,PC44,0.004036396243057478,0.7829222211020841
optimal414,PC45,0.0038270966789762722,0.7867493177810604
optimal414,PC46,0.0037869211261811414,0.7905362389072416
optimal414,PC47,0.0036722780793008495,0.7942085169865424
optimal414,PC48,0.00360023408301905,0.7978087510695614
optimal414,PC49,0.003398777796298199,0.8012075288658596
optimal414,PC50,0.003380741099616762,0.8045882699654763
optimal414,PC51,0.00328373595219879,0.807872005917675
optimal414,PC52,0.003238226452039376,0.8111102323697145
optimal414,PC53,0.0032069964643191284,0.8143172288340336
optimal414,PC54,0.0031027364945462417,0.8174199653285799
optimal414,PC55,0.003081633386349891,0.8205015987149298
optimal414,PC56,0.0029945953523902637,0.82349619406732
optimal414,PC57,0.0029673771337711025,0.8264635712010912
optimal414,PC58,0.0029146524297014105,0.8293782236307926
optimal414,PC59,0.0028456673396786906,0.8322238909704713
optimal414,PC60,0.002840822906771916,0.8350647138772432
optimal414,PC61,0.002711337361850992,0.8377760512390943
optimal414,PC62,0.002658395539503307,0.8404344467785976
optimal414,PC63,0.002618932181162224,0.8430533789597598
optimal414,PC64,0.002586619412445991,0.8456399983722058
optimal414,PC65,0.002544561587761406,0.8481845599599672
optimal414,PC66,0.0025083940239233396,0.8506929539838906
optimal414,PC67,0.0024868101435989243,0.8531797641274895
optimal414,PC68,0.0024419444470518436,0.8556217085745413
optimal414,PC69,0.0023957191404721267,0.8580174277150134
optimal414,PC70,0.0023425005028010425,0.8603599282178145
optimal414,PC71,0.002328426039520162,0.8626883542573347
optimal414,PC72,0.0022330039270749822,0.8649213581844096
optimal414,PC73,0.002149402317186555,0.8670707605015961
optimal414,PC74,0.00214871415014588,0.869219474651742
optimal414,PC75,0.0021355975339173417,0.8713550721856593
optimal414,PC76,0.0020735746703090235,0.8734286468559683
optimal414,PC77,0.002024215988378429,0.8754528628443468
optimal414,PC78,0.0019943655244382937,0.8774472283687851
optimal414,PC79,0.001907490508313437,0.8793547188770985
optimal414,PC80,0.0018910121699616813,0.8812457310470602
optimal414,PC81,0.001859039932052643,0.8831047709791128
optimal414,PC82,0.0018382981808055842,0.8849430691599184
optimal414,PC83,0.001834666306879774,0.8867777354667982
optimal414,PC84,0.0018122518930904197,0.8885899873598886
optimal414,PC85,0.0017666575858211854,0.8903566449457098
optimal414,PC86,0.0017320488540651599,0.892088693799775
optimal414,PC87,0.0017155487093992094,0.8938042425091741
optimal414,PC88,0.0016755697640033972,0.8954798122731775
optimal414,PC89,0.0016569761697052185,0.8971367884428827
optimal414,PC90,0.0016277862701909015,0.8987645747130736
optimal414,PC91,0.0016230225623556865,0.9003875972754293
optimal414,PC92,0.0015965115101932645,0.9019841087856225
optimal414,PC93,0.001555996646678335,0.9035401054323009
optimal414,PC94,0.0015310596808965535,0.9050711651131974
optimal414,PC95,0.0015104561882752748,0.9065816213014727
optimal414,PC96,0.001483732984024634,0.9080653542854973
optimal414,PC97,0.0014669965907809644,0.9095323508762783
optimal414,PC98,0.001433049787992263,0.9109654006642706
optimal414,PC99,0.0014079493384333423,0.9123733500027039
optimal414,PC100,0.001399590242915702,0.9137729402456196
optimal414,PC101,0.0013802777312674202,0.915153217976887
optimal414,PC102,0.0013343258943296448,0.9164875438712167
optimal414,PC103,0.001324922820391258,0.9178124666916079
optimal414,PC104,0.0013081457916327476,0.9191206124832406
optimal414,PC105,0.001285627402160514,0.9204062398854012
optimal414,PC106,0.0012568375860170032,0.9216630774714182
optimal414,PC107,0.001221127492121359,0.9228842049635395
optimal414,PC108,0.0012149099943641508,0.9240991149579036
optimal414,PC109,0.0012012730727278414,0.9253003880306315
optimal414,PC110,0.00119253912771992,0.9264929271583514
optimal414,PC111,0.0011743774172222345,0.9276673045755737
optimal414,PC112,0.0011522299817602298,0.9288195345573339
optimal414,PC113,0.0011486551751691604,0.9299681897325031
optimal414,PC114,0.0011130356686810086,0.9310812254011841
optimal414,PC115,0.0010911759933003166,0.9321724013944844
optimal414,PC116,0.0010777637581770461,0.9332501651526615
optimal414,PC117,0.0010567733598386793,0.9343069385125001
optimal414,PC118,0.001047379872689939,0.9353543183851901
optimal414,PC119,0.0010187735668645062,0.9363730919520546
optimal414,PC120,0.0010098507830378362,0.9373829427350925
optimal414,PC121,9.886890685424983e-4,0.938371631803635
optimal414,PC122,9.76095260516416e-4,0.9393477270641515
optimal414,PC123,9.503381361643062e-4,0.9402980652003158
optimal414,PC124,9.47747854486199e-4,0.9412458130548019
optimal414,PC125,9.34705056975247e-4,0.9421805181117772
optimal414,PC126,9.145395744637922e-4,0.9430950576862409
optimal414,PC127,9.105710461349031e-4,0.9440056287323758
optimal414,PC128,8.909628603508999e-4,0.9448965915927268
optimal414,PC129,8.79082118227483e-4,0.9457756737109543
optimal414,PC130,8.647080677134857e-4,0.9466403817786677
optimal414,PC131,8.500857388448061e-4,0.9474904675175125
optimal414,PC132,8.464384607707407e-4,0.9483369059782832
optimal414,PC133,8.424279443661778e-4,0.9491793339226494
optimal414,PC134,8.349558794748554e-4,0.9500142898021243
